month,Price,quantity
2014-01-01,5.26709153213774,0.0
2014-02-01,5.26709153213774,0.0
2014-03-01,5.26709153213774,0.0
2014-04-01,5.26709153213774,0.0
2014-05-01,4.29,10.0
2014-06-01,5.26709153213774,0.0
2014-07-01,3.99,12.0
2014-08-01,5.26709153213774,0.0
2014-09-01,5.3999999999999995,10.0
2014-10-01,4.622324999999999,42.0
2014-11-01,5.28,10.0
2014-12-01,5.1292307692307695,20.0
2015-01-01,4.635000000000001,34.0
2015-02-01,5.356153846153846,19.0
2015-03-01,4.835454545454546,16.0
2015-04-01,4.72846153846154,30.0
2015-05-01,5.26709153213774,0.0
2015-06-01,4.49,1.0
2015-07-01,4.628933333333332,129.0
2015-08-01,4.8083333333333345,30.0
2015-09-01,5.450000000000001,20.0
2015-10-01,5.45,7.0
2015-11-01,4.95857142857143,28.0
2015-12-01,5.450000000000002,29.0
2016-01-01,4.865,11.0
2016-02-01,5.26709153213774,0.0
2016-03-01,4.29,16.0
2016-04-01,4.835454545454545,13.0
2016-05-01,4.810555555555554,48.0
2016-06-01,5.69,4.0
2016-07-01,4.815000000000001,55.0
2016-08-01,5.619999999999999,16.0
2016-09-01,5.455000000000002,40.0
2016-10-01,5.435666666666665,24.0
2016-11-01,5.619999999999999,8.0
2016-12-01,5.62,23.0
2017-01-01,5.448181818181818,19.0
2017-02-01,5.26,22.0
2017-03-01,5.58,7.0
2017-04-01,5.26709153213774,0.0
2017-05-01,5.62,10.0
2017-06-01,5.462142857142856,22.0
2017-07-01,5.0441666666666665,16.0
2017-08-01,5.655384615384615,22.0
2017-09-01,4.662763157894737,30.0
2017-10-01,5.439999999999999,20.0
2017-11-01,5.268846153846155,18.0
2017-12-01,5.621666666666667,20.0
2018-01-01,5.76773076923077,19.0
2018-02-01,5.29,3.0
2018-03-01,6.1899999999999995,10.0
2018-04-01,5.928461538461539,24.0
2018-05-01,5.057,18.0
2018-06-01,6.259999999999999,18.0
2018-07-01,6.259999999999999,10.0
2018-08-01,6.259999999999999,12.0
2018-09-01,5.10475,27.0
2018-10-01,5.307500000000002,21.0
2018-11-01,6.259999999999999,11.0
2018-12-01,5.313933333333333,33.0
