month,Price,quantity
2014-01-01,4.8296659770357255,0.0
2014-02-01,4.8296659770357255,0.0
2014-03-01,4.8296659770357255,0.0
2014-04-01,4.8296659770357255,0.0
2014-05-01,4.5,10.0
2014-06-01,4.3702499999999995,22.0
2014-07-01,4.769999999999998,37.0
2014-08-01,4.65,32.0
2014-09-01,4.162022727272728,32.0
2014-10-01,4.666666666666665,25.0
2014-11-01,4.6435555555555545,19.0
2014-12-01,4.769999999999998,32.0
2015-01-01,4.567999999999999,28.0
2015-02-01,4.243846153846153,23.0
2015-03-01,5.0,16.0
2015-04-01,4.610285714285714,16.0
2015-05-01,5.0,16.0
2015-06-01,4.721818181818183,32.0
2015-07-01,5.0,17.0
2015-08-01,4.8125,23.0
2015-09-01,4.6000000000000005,23.0
2015-10-01,4.905,19.0
2015-11-01,5.0,8.0
2015-12-01,4.826666666666665,26.0
2016-01-01,4.911111111111111,11.0
2016-02-01,4.16,8.0
2016-03-01,4.415,15.0
2016-04-01,4.628571428571428,10.0
2016-05-01,4.4258571428571445,23.0
2016-06-01,4.690588235294117,39.0
2016-07-01,4.990000000000001,27.0
2016-08-01,4.922916666666667,27.0
2016-09-01,4.76,28.0
2016-10-01,4.568888888888888,22.0
2016-11-01,4.799999999999999,24.0
2016-12-01,4.799999999999999,29.0
2017-01-01,4.889999999999999,27.0
2017-02-01,4.8999999999999995,12.0
2017-03-01,4.779999999999999,23.0
2017-04-01,4.79111111111111,18.0
2017-05-01,4.8999999999999995,24.0
2017-06-01,5.1000000000000005,32.0
2017-07-01,5.027425925925924,55.0
2017-08-01,5.05,29.0
2017-09-01,5.05,25.0
2017-10-01,5.049999999999999,25.0
2017-11-01,5.049999999999999,28.0
2017-12-01,5.049999999999999,35.0
2018-01-01,5.085714285714286,15.0
2018-02-01,5.1187499999999995,14.0
2018-03-01,5.1499999999999995,29.0
2018-04-01,5.1499999999999995,28.0
2018-05-01,4.963363636363637,28.0
2018-06-01,4.990000000000001,15.0
2018-07-01,4.991538461538462,25.0
2018-08-01,4.985384615384614,32.0
2018-09-01,5.1499999999999995,20.0
2018-10-01,5.1499999999999995,36.0
2018-11-01,5.1499999999999995,15.0
2018-12-01,5.0444615384615386,33.0
