month,Price,quantity
2014-01-01,5.265857469877408,0.0
2014-02-01,5.265857469877408,0.0
2014-03-01,5.265857469877408,0.0
2014-04-01,5.265857469877408,0.0
2014-05-01,3.990000000000001,10.0
2014-06-01,5.265857469877408,0.0
2014-07-01,3.9900000000000015,40.0
2014-08-01,5.265857469877408,0.0
2014-09-01,5.3999999999999995,10.0
2014-10-01,4.1575,11.0
2014-11-01,5.28,4.0
2014-12-01,5.035,6.0
2015-01-01,4.5211764705882365,44.0
2015-02-01,5.335,4.0
2015-03-01,5.19909090909091,13.0
2015-04-01,4.8900000000000015,17.0
2015-05-01,5.265857469877408,0.0
2015-06-01,4.57,6.0
2015-07-01,4.587999999999999,35.0
2015-08-01,4.612857142857143,20.0
2015-09-01,5.450000000000002,18.0
2015-10-01,5.45,2.0
2015-11-01,4.980909090909091,18.0
2015-12-01,5.450000000000001,8.0
2016-01-01,4.410000000000001,26.0
2016-02-01,4.9833333333333325,11.0
2016-03-01,4.688571428571429,27.0
2016-04-01,4.823333333333334,26.0
2016-05-01,4.769444444444443,35.0
2016-06-01,5.573333333333334,9.0
2016-07-01,4.985,21.0
2016-08-01,5.619999999999999,9.0
2016-09-01,5.473333333333333,14.0
2016-10-01,5.478571428571429,20.0
2016-11-01,5.619999999999999,10.0
2016-12-01,5.619999999999999,15.0
2017-01-01,5.242,6.0
2017-02-01,5.22625,10.0
2017-03-01,5.553333333333331,13.0
2017-04-01,5.265857469877408,0.0
2017-05-01,5.62,5.0
2017-06-01,5.405833333333333,19.0
2017-07-01,5.25,14.0
2017-08-01,5.5672727272727265,15.0
2017-09-01,4.700000000000001,17.0
2017-10-01,5.547692307692308,18.0
2017-11-01,5.598642857142856,18.0
2017-12-01,5.508181818181818,14.0
2018-01-01,5.717625,11.0
2018-02-01,5.456666666666667,8.0
2018-03-01,6.19,5.0
2018-04-01,6.012222222222224,11.0
2018-05-01,5.0508461538461535,25.0
2018-06-01,6.259999999999999,18.0
2018-07-01,6.259999999999999,8.0
2018-08-01,6.26,1.0
2018-09-01,5.3792857142857144,22.0
2018-10-01,5.485615384615385,18.0
2018-11-01,6.26,5.0
2018-12-01,5.328666666666666,26.0
