month,Price,quantity
2014-01-01,3.6499999999999995,11.0
2014-02-01,3.5500000000000007,15.0
2014-03-01,3.626666666666667,11.0
2014-04-01,3.84,3.0
2014-05-01,3.618,10.0
2014-06-01,3.24125,6.0
2014-07-01,3.697,16.0
2014-08-01,3.7777499999999993,19.0
2014-09-01,3.5573333333333346,18.0
2014-10-01,3.5091666666666668,16.0
2014-11-01,3.732857142857143,7.0
2014-12-01,3.8233333333333337,7.0
2015-01-01,3.8800000000000003,6.0
2015-02-01,3.8828219954648517,0.0
2015-03-01,3.8828219954648517,0.0
2015-04-01,3.8828219954648517,0.0
2015-05-01,3.8828219954648517,0.0
2015-06-01,3.8828219954648517,0.0
2015-07-01,3.8828219954648517,0.0
2015-08-01,3.8828219954648517,0.0
2015-09-01,3.8828219954648517,0.0
2015-10-01,3.8828219954648517,0.0
2015-11-01,3.8828219954648517,0.0
2015-12-01,3.8828219954648517,0.0
2016-01-01,3.8828219954648517,0.0
2016-02-01,3.8828219954648517,0.0
2016-03-01,3.8828219954648517,0.0
2016-04-01,3.8828219954648517,0.0
2016-05-01,3.8828219954648517,0.0
2016-06-01,3.8828219954648517,0.0
2016-07-01,3.8828219954648517,0.0
2016-08-01,3.8828219954648517,0.0
2016-09-01,3.8828219954648517,0.0
2016-10-01,3.8828219954648517,0.0
2016-11-01,3.8828219954648517,0.0
2016-12-01,3.8828219954648517,0.0
2017-01-01,3.8828219954648517,0.0
2017-02-01,3.8828219954648517,0.0
2017-03-01,3.8828219954648517,0.0
2017-04-01,3.8828219954648517,0.0
2017-05-01,3.8828219954648517,0.0
2017-06-01,3.8828219954648517,0.0
2017-07-01,3.8828219954648517,0.0
2017-08-01,3.8828219954648517,0.0
2017-09-01,3.8828219954648517,0.0
2017-10-01,3.8828219954648517,0.0
2017-11-01,3.8828219954648517,0.0
2017-12-01,3.8828219954648517,0.0
2018-01-01,3.8828219954648517,0.0
2018-02-01,3.8828219954648517,0.0
2018-03-01,3.8828219954648517,0.0
2018-04-01,3.8828219954648517,0.0
2018-05-01,4.175,6.0
2018-06-01,4.35,5.0
2018-07-01,4.375,10.0
2018-08-01,3.9393333333333334,9.0
2018-09-01,4.071571428571429,9.0
2018-10-01,4.45,3.0
2018-11-01,4.324999999999999,4.0
2018-12-01,4.35,6.0
