month,Price,quantity
2014-01-01,2.244881524926687,0.0
2014-02-01,2.244881524926687,0.0
2014-03-01,1.57289393939394,36.0
2014-04-01,1.8829999999999998,12.0
2014-05-01,2.0399999999999996,13.0
2014-06-01,1.8677333333333335,18.0
2014-07-01,1.9401999999999997,16.0
2014-08-01,1.9499999999999997,11.0
2014-09-01,2.244881524926687,0.0
2014-10-01,2.244881524926687,0.0
2014-11-01,2.244881524926687,0.0
2014-12-01,2.244881524926687,0.0
2015-01-01,2.244881524926687,0.0
2015-02-01,2.244881524926687,0.0
2015-03-01,2.244881524926687,0.0
2015-04-01,2.244881524926687,0.0
2015-05-01,2.244881524926687,0.0
2015-06-01,2.244881524926687,0.0
2015-07-01,2.244881524926687,0.0
2015-08-01,2.244881524926687,0.0
2015-09-01,2.244881524926687,0.0
2015-10-01,2.244881524926687,0.0
2015-11-01,2.244881524926687,0.0
2015-12-01,2.244881524926687,0.0
2016-01-01,2.244881524926687,0.0
2016-02-01,2.244881524926687,0.0
2016-03-01,2.244881524926687,0.0
2016-04-01,2.244881524926687,0.0
2016-05-01,2.244881524926687,0.0
2016-06-01,2.244881524926687,0.0
2016-07-01,2.244881524926687,0.0
2016-08-01,2.244881524926687,0.0
2016-09-01,2.244881524926687,0.0
2016-10-01,2.244881524926687,0.0
2016-11-01,2.244881524926687,0.0
2016-12-01,2.1,1.0
2017-01-01,2.0833333333333335,10.0
2017-02-01,2.0414285714285714,9.0
2017-03-01,2.17,6.0
2017-04-01,2.2066666666666674,15.0
2017-05-01,2.2100000000000004,8.0
2017-06-01,2.2100000000000004,7.0
2017-07-01,2.1100000000000003,22.0
2017-08-01,2.1774999999999998,29.0
2017-09-01,2.21,5.0
2017-10-01,2.2100000000000004,13.0
2017-11-01,2.2100000000000004,6.0
2017-12-01,2.2100000000000004,7.0
2018-01-01,2.2100000000000004,10.0
2018-02-01,2.212857142857143,8.0
2018-03-01,2.2857142857142856,10.0
2018-04-01,2.6200000000000006,11.0
2018-05-01,2.6200000000000006,8.0
2018-06-01,2.6200000000000006,11.0
2018-07-01,2.52,25.0
2018-08-01,2.62,37.0
2018-09-01,2.6200000000000006,15.0
2018-10-01,2.62,5.0
2018-11-01,2.62,2.0
2018-12-01,2.6200000000000006,6.0
