month,Price,quantity
2014-01-01,1.7324444444444445,32.0
2014-02-01,1.7205882352941173,26.0
2014-03-01,1.6999999999999995,44.0
2014-04-01,1.7324999999999995,52.0
2014-05-01,1.637873015873016,39.0
2014-06-01,1.676725,57.0
2014-07-01,1.67380303030303,58.0
2014-08-01,1.6900000000000002,51.0
2014-09-01,1.6684305555555554,62.0
2014-10-01,1.7366666666666666,41.0
2014-11-01,1.7610000000000006,46.0
2014-12-01,1.8500000000000008,46.0
2015-01-01,1.850000000000001,59.0
2015-02-01,1.8500000000000005,47.0
2015-03-01,1.8500000000000008,44.0
2015-04-01,1.8500000000000008,47.0
2015-05-01,1.8500000000000005,36.0
2015-06-01,1.8590909090909096,35.0
2015-07-01,1.8900000000000003,43.0
2015-08-01,1.9315384615384608,75.0
2015-09-01,1.9799999999999993,51.0
2015-10-01,1.979999999999999,69.0
2015-11-01,1.9101999999999992,56.0
2015-12-01,1.9799999999999998,43.0
2016-01-01,1.9799999999999993,76.0
2016-02-01,1.964159999999999,60.0
2016-03-01,1.9800416666666658,77.0
2016-04-01,1.98,49.0
2016-05-01,1.8843478260869566,55.0
2016-06-01,1.88,47.0
2016-07-01,1.7777777777777775,84.0
2016-08-01,2.004,55.0
2016-09-01,1.987302083333332,76.0
2016-10-01,1.9291999999999998,42.0
2016-11-01,1.999090909090909,15.0
2016-12-01,1.9899999999999998,38.0
2017-01-01,1.9900000000000002,55.0
2017-02-01,1.9899999999999995,32.0
2017-03-01,1.9667187499999994,34.0
2017-04-01,2.105453167337103,0.0
2017-05-01,2.14,33.0
2017-06-01,2.1100000000000008,44.0
2017-07-01,2.121842105263158,55.0
2017-08-01,2.0435624999999997,47.0
2017-09-01,2.35,12.0
2017-10-01,2.326521739130435,49.0
2017-11-01,2.492499999999999,64.0
2017-12-01,2.5499999999999994,43.0
2018-01-01,2.549999999999999,40.0
2018-02-01,2.600333333333334,31.0
2018-03-01,2.6668214285714296,33.0
2018-04-01,2.6368235294117643,39.0
2018-05-01,2.795454545454545,20.0
2018-06-01,2.7470769230769227,19.0
2018-07-01,2.7899999999999996,26.0
2018-08-01,2.769333333333333,56.0
2018-09-01,2.801059999999999,44.0
2018-10-01,2.9311111111111106,31.0
2018-11-01,2.954368421052631,31.0
2018-12-01,3.181428571428572,25.0
