month,Price,quantity
2014-01-01,2.5,42.0
2014-02-01,2.5,49.0
2014-03-01,2.5,45.0
2014-04-01,2.5,60.0
2014-05-01,2.5,29.0
2014-06-01,2.471985154061624,53.0
2014-07-01,2.5241710526315795,63.0
2014-08-01,2.435000000000001,64.0
2014-09-01,2.515,56.0
2014-10-01,2.515,46.0
2014-11-01,2.5303508771929817,50.0
2014-12-01,2.55,5.0
2015-01-01,2.5500000000000003,19.0
2015-02-01,2.5500000000000003,14.0
2015-03-01,2.5399999999999996,29.0
2015-04-01,2.5399999999999996,47.0
2015-05-01,2.449105263157896,32.0
2015-06-01,2.7492453420445755,0.0
2015-07-01,2.4900000000000015,52.0
2015-08-01,2.288,51.0
2015-09-01,2.649999999999999,57.0
2015-10-01,2.430952380952382,36.0
2015-11-01,2.424761904761906,47.0
2015-12-01,2.52,29.0
2016-01-01,2.5200000000000014,43.0
2016-02-01,2.4909360000000005,69.0
2016-03-01,2.5304347826086953,36.0
2016-04-01,2.5399999999999996,17.0
2016-05-01,2.54,3.0
2016-06-01,2.5399999999999996,57.0
2016-07-01,2.5399999999999996,44.0
2016-08-01,2.7492453420445755,0.0
2016-09-01,2.49,26.0
2016-10-01,2.4933333333333345,61.0
2016-11-01,2.5300000000000007,60.0
2016-12-01,2.5247826086956526,49.0
2017-01-01,2.4143913043478276,67.0
2017-02-01,2.3664318181818187,25.0
2017-03-01,2.4199999999999995,14.0
2017-04-01,2.4200000000000004,21.0
2017-05-01,2.4485714285714297,99.0
2017-06-01,2.5132232142857154,90.0
2017-07-01,2.5125882352941185,41.0
2017-08-01,2.5200000000000014,50.0
2017-09-01,2.5103076923076935,78.0
2017-10-01,2.4076000000000013,69.0
2017-11-01,2.4796250000000013,55.0
2017-12-01,2.898333333333334,54.0
2018-01-01,3.8899999999999997,39.0
2018-02-01,3.876107142857143,22.0
2018-03-01,3.734705882352942,39.0
2018-04-01,3.641692307692309,24.0
2018-05-01,3.670000000000001,35.0
2018-06-01,3.6679028571428587,77.0
2018-07-01,3.6545000000000014,32.0
2018-08-01,3.590000000000002,60.0
2018-09-01,3.635652173913044,54.0
2018-10-01,3.6550000000000002,30.0
2018-11-01,3.661659090909092,42.0
2018-12-01,3.6541250000000014,34.0
