month,Price,quantity
2014-01-01,3.0976151324561387,0.0
2014-02-01,3.0976151324561387,0.0
2014-03-01,3.0976151324561387,0.0
2014-04-01,3.0976151324561387,0.0
2014-05-01,3.0976151324561387,0.0
2014-06-01,3.0976151324561387,0.0
2014-07-01,3.0976151324561387,0.0
2014-08-01,3.0976151324561387,0.0
2014-09-01,3.0976151324561387,0.0
2014-10-01,2.1394117647058826,115.0
2014-11-01,2.566504761904762,29.0
2014-12-01,2.5,2.0
2015-01-01,2.35,1.0
2015-02-01,2.8336363636363635,50.0
2015-03-01,3.0661666666666663,49.0
2015-04-01,3.071290909090909,51.0
2015-05-01,3.1133333333333337,50.0
2015-06-01,2.8981172413793117,151.0
2015-07-01,3.1164285714285738,98.0
2015-08-01,3.2012499999999986,26.0
2015-09-01,2.765263157894736,77.0
2015-10-01,3.056333333333333,23.0
2015-11-01,3.024999999999999,20.0
2015-12-01,2.8102499999999995,47.0
2016-01-01,3.0026470588235283,33.0
2016-02-01,2.8997678571428573,22.0
2016-03-01,3.025,4.0
2016-04-01,3.1774999999999998,10.0
2016-05-01,2.8347826086956522,50.0
2016-06-01,2.6277777777777778,14.0
2016-07-01,3.0976151324561387,0.0
2016-08-01,3.0976151324561387,0.0
2016-09-01,3.0976151324561387,0.0
2016-10-01,2.9,1.0
2016-11-01,3.025,2.0
2016-12-01,3.15,2.0
2017-01-01,3.0976151324561387,0.0
2017-02-01,3.125,5.0
2017-03-01,3.0799999999999996,15.0
2017-04-01,3.189999999999999,12.0
2017-05-01,3.0475,18.0
2017-06-01,2.933805555555556,27.0
2017-07-01,3.1299999999999994,8.0
2017-08-01,3.1446666666666667,22.0
2017-09-01,3.2166666666666663,5.0
2017-10-01,3.1759583333333326,41.0
2017-11-01,3.218507936507936,39.0
2017-12-01,3.2271547619047607,47.0
2018-01-01,3.1797499999999994,10.0
2018-02-01,3.259999999999999,10.0
2018-03-01,2.804,15.0
2018-04-01,3.232999999999999,16.0
2018-05-01,3.0263388888888896,54.0
2018-06-01,3.18,28.0
2018-07-01,3.18,25.0
2018-08-01,3.18,3.0
2018-09-01,3.994545454545454,15.0
2018-10-01,4.3,7.0
2018-11-01,4.3,11.0
2018-12-01,4.305555555555555,15.0
