month,Price,quantity
2014-01-01,2.0715,25.0
2014-02-01,2.152666666666667,26.0
2014-03-01,1.9716,7.0
2014-04-01,2.14,13.0
2014-05-01,2.6301316537023727,0.0
2014-06-01,2.53,1.0
2014-07-01,2.395357142857143,15.0
2014-08-01,2.3205,39.0
2014-09-01,2.53,1.0
2014-10-01,2.524642857142857,23.0
2014-11-01,2.2372070393374743,83.0
2014-12-01,2.3630588235294114,37.0
2015-01-01,2.404130434782609,31.0
2015-02-01,2.5,1.0
2015-03-01,2.64,15.0
2015-04-01,2.64,12.0
2015-05-01,2.64,25.0
2015-06-01,2.3638928571428575,31.0
2015-07-01,2.427272727272728,52.0
2015-08-01,2.6153333333333326,24.0
2015-09-01,2.522666666666667,21.0
2015-10-01,2.6000000000000005,33.0
2015-11-01,2.5165833333333336,19.0
2015-12-01,2.53,14.0
2016-01-01,2.301184210526316,41.0
2016-02-01,2.4708076923076936,17.0
2016-03-01,2.484117647058823,27.0
2016-04-01,2.433843137254901,26.0
2016-05-01,2.358988505747126,95.0
2016-06-01,2.5220000000000007,39.0
2016-07-01,2.4987708333333343,45.0
2016-08-01,2.4100000000000006,56.0
2016-09-01,2.298,11.0
2016-10-01,2.5900000000000007,24.0
2016-11-01,2.5900000000000016,34.0
2016-12-01,2.5292000000000003,56.0
2017-01-01,2.616978260869566,43.0
2017-02-01,2.670000000000001,55.0
2017-03-01,2.648722222222223,26.0
2017-04-01,2.6003392857142864,82.0
2017-05-01,2.466426613965745,93.0
2017-06-01,2.59625,37.0
2017-07-01,2.75,6.0
2017-08-01,2.85,19.0
2017-09-01,2.850000000000001,38.0
2017-10-01,2.896666666666668,18.0
2017-11-01,3.1733333333333333,15.0
2017-12-01,3.193333333333334,24.0
2018-01-01,2.9101410220214565,107.0
2018-02-01,2.553669191919192,31.0
2018-03-01,3.2259624999999987,36.0
2018-04-01,3.183999999999999,28.0
2018-05-01,3.055589285714285,60.0
2018-06-01,3.0594347826086947,42.0
2018-07-01,3.146479999999999,41.0
2018-08-01,3.1300000000000003,28.0
2018-09-01,3.200000000000001,57.0
2018-10-01,2.9685771541501977,171.0
2018-11-01,3.1592391304347838,62.0
2018-12-01,3.1493008771929834,74.0
