month,Price,quantity
2014-01-01,2.5,13.0
2014-02-01,2.5,2.0
2014-03-01,2.5,8.0
2014-04-01,2.5,9.0
2014-05-01,2.5,6.0
2014-06-01,2.4755714285714285,9.0
2014-07-01,2.53,10.0
2014-08-01,2.47,6.0
2014-09-01,2.515,16.0
2014-10-01,2.515,8.0
2014-11-01,2.5324999999999998,5.0
2014-12-01,2.5500000000000003,9.0
2015-01-01,2.5500000000000003,9.0
2015-02-01,2.55,2.0
2015-03-01,2.54,1.0
2015-04-01,2.7600583951762525,0.0
2015-05-01,2.7600583951762525,0.0
2015-06-01,2.7600583951762525,0.0
2015-07-01,2.7600583951762525,0.0
2015-08-01,1.9899999999999998,17.0
2015-09-01,2.65,15.0
2015-10-01,2.42,12.0
2015-11-01,2.42,6.0
2015-12-01,2.52,9.0
2016-01-01,2.52,6.0
2016-02-01,2.52,10.0
2016-03-01,2.535,4.0
2016-04-01,2.54,3.0
2016-05-01,2.5399999999999996,9.0
2016-06-01,2.54,8.0
2016-07-01,2.5399999999999996,8.0
2016-08-01,2.5399999999999996,12.0
2016-09-01,2.49,8.0
2016-10-01,2.440071428571429,21.0
2016-11-01,2.53,10.0
2016-12-01,2.506,6.0
2017-01-01,2.49,10.0
2017-02-01,2.42,5.0
2017-03-01,2.4200000000000004,16.0
2017-04-01,2.42,7.0
2017-05-01,2.4699999999999998,5.0
2017-06-01,2.52,13.0
2017-07-01,2.52,12.0
2017-08-01,2.52,16.0
2017-09-01,2.52,4.0
2017-10-01,2.52,3.0
2017-11-01,2.49,3.0
2017-12-01,3.29,11.0
2018-01-01,3.89,8.0
2018-02-01,3.4564,6.0
2018-03-01,3.7500000000000004,19.0
2018-04-01,3.670000000000001,8.0
2018-05-01,3.6700000000000013,26.0
2018-06-01,3.67,5.0
2018-07-01,3.6627272727272735,11.0
2018-08-01,3.59,12.0
2018-09-01,3.64,8.0
2018-10-01,3.655,6.0
2018-11-01,3.6700000000000004,9.0
2018-12-01,3.670000000000001,9.0
