month,Price,quantity
2014-01-01,0.7550000000000001,74.0
2014-02-01,0.7653846153846156,87.0
2014-03-01,0.7718181818181814,80.0
2014-04-01,0.7899999999999996,123.0
2014-05-01,0.7767592592592594,132.0
2014-06-01,0.7795736263736265,83.0
2014-07-01,0.785,84.0
2014-08-01,0.785,121.0
2014-09-01,0.785,177.0
2014-10-01,0.785,117.0
2014-11-01,0.7774903846153847,111.0
2014-12-01,0.7740000000000002,89.0
2015-01-01,0.805825396825397,86.0
2015-02-01,0.7904347826086958,94.0
2015-03-01,0.8400000000000001,61.0
2015-04-01,0.8400000000000001,84.0
2015-05-01,0.7985185185185185,142.0
2015-06-01,0.810434782608696,98.0
2015-07-01,0.8000000000000002,170.0
2015-08-01,0.7750000000000001,158.0
2015-09-01,0.7875000000000004,84.0
2015-10-01,0.84,56.0
2015-11-01,0.84,30.0
2015-12-01,0.8188235294117647,48.0
2016-01-01,0.7877272727272729,78.0
2016-02-01,0.795294117647059,46.0
2016-03-01,0.69,31.0
2016-04-01,0.7934782608695651,96.0
2016-05-01,0.8205263157894739,80.0
2016-06-01,0.8320000000000001,42.0
2016-07-01,0.84,171.0
2016-08-01,0.8225837320574165,174.0
2016-09-01,0.8000000000000002,77.0
2016-10-01,0.8133333333333336,47.0
2016-11-01,0.7868434343434344,162.0
2016-12-01,0.8151103896103892,114.0
2017-01-01,0.8241799999999998,105.0
2017-02-01,0.8249999999999996,89.0
2017-03-01,0.8185312500000002,75.0
2017-04-01,0.8200000000000001,84.0
2017-05-01,0.8200000000000002,125.0
2017-06-01,0.8200000000000002,124.0
2017-07-01,0.8171458333333335,128.0
2017-08-01,0.8163180008845645,362.0
2017-09-01,0.8170077294685992,174.0
2017-10-01,0.8038223395445135,170.0
2017-11-01,0.8435714285714289,128.0
2017-12-01,0.8496227272727271,91.0
2018-01-01,0.8494407894736841,111.0
2018-02-01,0.8499999999999999,102.0
2018-03-01,0.8499999999999998,75.0
2018-04-01,0.8498714285714286,86.0
2018-05-01,0.8499999999999998,70.0
2018-06-01,0.8499999999999999,39.0
2018-07-01,0.8575833333333333,236.0
2018-08-01,0.879158884978493,250.0
2018-09-01,0.8509950617283951,139.0
2018-10-01,0.8111527849291682,0.0
2018-11-01,0.8111527849291682,0.0
2018-12-01,0.8111527849291682,0.0
