month,Price,quantity
2014-01-01,3.3055555555555562,17.0
2014-02-01,3.481538461538462,22.0
2014-03-01,3.7,18.0
2014-04-01,3.781583333333334,17.0
2014-05-01,3.8500000000000005,9.0
2014-06-01,3.5250000000000004,9.0
2014-07-01,3.6745625000000004,15.0
2014-08-01,3.4888888888888894,12.0
2014-09-01,3.850000000000001,24.0
2014-10-01,3.8700000000000006,16.0
2014-11-01,3.8700000000000006,8.0
2014-12-01,3.8809090909090913,22.0
2015-01-01,3.89,16.0
2015-02-01,3.3142355371900822,44.0
2015-03-01,4.1000000000000005,14.0
2015-04-01,4.1000000000000005,16.0
2015-05-01,4.031250000000001,25.0
2015-06-01,3.978916666666668,18.0
2015-07-01,3.990000000000001,11.0
2015-08-01,4.0357142857142865,19.0
2015-09-01,4.1499999999999995,17.0
2015-10-01,4.1499999999999995,12.0
2015-11-01,4.1499999999999995,10.0
2015-12-01,4.1499999999999995,13.0
2016-01-01,4.140095238095238,11.0
2016-02-01,3.228571428571429,13.0
2016-03-01,4.0445851487967905,0.0
2016-04-01,4.1499999999999995,11.0
2016-05-01,4.15,8.0
2016-06-01,3.9180000000000006,5.0
2016-07-01,4.15,5.0
2016-08-01,4.15,4.0
2016-09-01,4.1499999999999995,10.0
2016-10-01,3.2835640151515153,37.0
2016-11-01,2.7269500000000004,15.0
2016-12-01,4.0445851487967905,0.0
2017-01-01,4.45,4.0
2017-02-01,3.8,3.0
2017-03-01,4.45,6.0
2017-04-01,4.45,7.0
2017-05-01,4.33875,5.0
2017-06-01,4.4221875,9.0
2017-07-01,4.0445851487967905,0.0
2017-08-01,4.69,10.0
2017-09-01,4.69,2.0
2017-10-01,3.548208333333334,22.0
2017-11-01,3.773666666666667,3.0
2017-12-01,4.69,3.0
2018-01-01,4.69,8.0
2018-02-01,4.73,2.0
2018-03-01,4.8740000000000006,7.0
2018-04-01,4.67575,4.0
2018-05-01,4.423115384615386,25.0
2018-06-01,4.322,10.0
2018-07-01,4.0445851487967905,0.0
2018-08-01,4.0445851487967905,0.0
2018-09-01,3.89,7.0
2018-10-01,5.09,5.0
2018-11-01,4.0445851487967905,0.0
2018-12-01,4.0445851487967905,0.0
