month,Price,quantity
2014-01-01,5.2225681217899105,0.0
2014-02-01,5.2225681217899105,0.0
2014-03-01,5.2225681217899105,0.0
2014-04-01,5.2225681217899105,0.0
2014-05-01,3.9900000000000007,9.0
2014-06-01,5.2225681217899105,0.0
2014-07-01,5.2225681217899105,0.0
2014-08-01,5.2225681217899105,0.0
2014-09-01,5.3999999999999995,9.0
2014-10-01,4.6899999999999995,13.0
2014-11-01,5.28,8.0
2014-12-01,5.2225681217899105,0.0
2015-01-01,3.9807692307692317,19.0
2015-02-01,5.39,5.0
2015-03-01,5.090000000000001,11.0
2015-04-01,4.917272727272728,15.0
2015-05-01,5.490000000000001,9.0
2015-06-01,4.7299999999999995,7.0
2015-07-01,4.488095238095237,65.0
2015-08-01,4.404285714285715,19.0
2015-09-01,5.45,10.0
2015-10-01,5.450000000000001,8.0
2015-11-01,4.762,9.0
2015-12-01,5.450000000000001,11.0
2016-01-01,3.8899999999999997,5.0
2016-02-01,4.993499999999999,11.0
2016-03-01,4.15,5.0
2016-04-01,4.861428571428571,11.0
2016-05-01,4.793076923076923,18.0
2016-06-01,5.602500000000001,6.0
2016-07-01,4.592583333333333,22.0
2016-08-01,5.62,6.0
2016-09-01,5.4879999999999995,12.0
2016-10-01,5.387363636363635,16.0
2016-11-01,5.62,5.0
2016-12-01,5.62,3.0
2017-01-01,4.99,4.0
2017-02-01,5.305,9.0
2017-03-01,5.542222222222222,11.0
2017-04-01,5.305000000000001,9.0
2017-05-01,5.62,4.0
2017-06-01,5.220000000000001,18.0
2017-07-01,4.897142857142858,11.0
2017-08-01,5.5955555555555545,12.0
2017-09-01,4.787058823529413,25.0
2017-10-01,5.44,4.0
2017-11-01,5.79,3.0
2017-12-01,5.39,3.0
2018-01-01,5.79,7.0
2018-02-01,4.79,1.0
2018-03-01,6.189999999999999,14.0
2018-04-01,5.865000000000001,15.0
2018-05-01,4.79,1.0
2018-06-01,6.259999999999999,6.0
2018-07-01,6.259999999999999,10.0
2018-08-01,6.260000000000001,3.0
2018-09-01,5.0306875,9.0
2018-10-01,4.99,2.0
2018-11-01,6.26,4.0
2018-12-01,5.625,4.0
