month,Price,quantity
2014-01-01,2.15,10.0
2014-02-01,2.1499999999999995,16.0
2014-03-01,2.15,9.0
2014-04-01,2.15,2.0
2014-05-01,2.15,11.0
2014-06-01,2.1309375,9.0
2014-07-01,2.17,3.0
2014-08-01,2.17,4.0
2014-09-01,2.17,10.0
2014-10-01,2.1700000000000004,13.0
2014-11-01,2.17,6.0
2014-12-01,2.185,3.0
2015-01-01,2.2,3.0
2015-02-01,2.25,6.0
2015-03-01,2.0,7.0
2015-04-01,2.4,4.0
2015-05-01,2.4,7.0
2015-06-01,2.4,12.0
2015-07-01,2.4,12.0
2015-08-01,2.4,10.0
2015-09-01,2.3958166666666663,42.0
2015-10-01,2.3999999999999995,14.0
2015-11-01,2.4,12.0
2015-12-01,1.6899199999999996,66.0
2016-01-01,2.3839999999999995,25.0
2016-02-01,2.4,11.0
2016-03-01,2.4,4.0
2016-04-01,2.3999999999999995,15.0
2016-05-01,2.4,10.0
2016-06-01,2.321,8.0
2016-07-01,2.4,10.0
2016-08-01,2.3467777777777776,12.0
2016-09-01,2.3875961538461534,19.0
2016-10-01,2.4,11.0
2016-11-01,1.9733333333333336,13.0
2016-12-01,1.4324210526315793,35.0
2017-01-01,1.424,15.0
2017-02-01,1.4399999999999997,13.0
2017-03-01,1.44,16.0
2017-04-01,2.174379550878347,0.0
2017-05-01,2.174379550878347,0.0
2017-06-01,2.174379550878347,0.0
2017-07-01,2.174379550878347,0.0
2017-08-01,2.174379550878347,0.0
2017-09-01,2.174379550878347,0.0
2017-10-01,2.174379550878347,0.0
2017-11-01,2.174379550878347,0.0
2017-12-01,2.174379550878347,0.0
2018-01-01,2.174379550878347,0.0
2018-02-01,2.174379550878347,0.0
2018-03-01,2.174379550878347,0.0
2018-04-01,2.174379550878347,0.0
2018-05-01,2.174379550878347,0.0
2018-06-01,2.174379550878347,0.0
2018-07-01,2.174379550878347,0.0
2018-08-01,2.174379550878347,0.0
2018-09-01,2.174379550878347,0.0
2018-10-01,2.174379550878347,0.0
2018-11-01,2.174379550878347,0.0
2018-12-01,2.174379550878347,0.0
