month,Price,quantity
2014-01-01,5.194695667245288,0.0
2014-02-01,5.194695667245288,0.0
2014-03-01,5.194695667245288,0.0
2014-04-01,5.194695667245288,0.0
2014-05-01,4.290000000000001,10.0
2014-06-01,5.194695667245288,0.0
2014-07-01,3.990000000000001,20.0
2014-08-01,5.194695667245288,0.0
2014-09-01,5.3999999999999995,11.0
2014-10-01,4.737333333333333,28.0
2014-11-01,5.28,17.0
2014-12-01,5.1463636363636365,14.0
2015-01-01,4.44529411764706,32.0
2015-02-01,5.3625,16.0
2015-03-01,5.010000000000001,13.0
2015-04-01,4.9275,27.0
2015-05-01,5.490000000000001,17.0
2015-06-01,4.853636363636365,18.0
2015-07-01,4.70875,46.0
2015-08-01,4.736315789473683,37.0
2015-09-01,5.45,4.0
2015-10-01,5.194695667245288,0.0
2015-11-01,4.902727272727273,18.0
2015-12-01,5.45,6.0
2016-01-01,3.951092307692308,49.0
2016-02-01,4.1499999999999995,10.0
2016-03-01,4.29,15.0
2016-04-01,4.823333333333334,28.0
2016-05-01,4.9833333333333325,15.0
2016-06-01,5.549999999999999,11.0
2016-07-01,4.710000000000003,42.0
2016-08-01,5.62,2.0
2016-09-01,5.464705882352942,30.0
2016-10-01,5.464705882352942,34.0
2016-11-01,5.619999999999999,10.0
2016-12-01,5.619999999999999,17.0
2017-01-01,5.431,13.0
2017-02-01,5.179,13.0
2017-03-01,5.534285714285714,10.0
2017-04-01,5.194695667245288,0.0
2017-05-01,5.194695667245288,0.0
2017-06-01,5.363076923076922,26.0
2017-07-01,5.202500000000001,11.0
2017-08-01,5.6499999999999995,22.0
2017-09-01,4.91764705882353,21.0
2017-10-01,5.49,9.0
2017-11-01,4.52952380952381,11.0
2017-12-01,5.79,10.0
2018-01-01,5.79,14.0
2018-02-01,4.971818181818182,16.0
2018-03-01,6.189999999999999,20.0
2018-04-01,5.990000000000001,11.0
2018-05-01,4.986000000000001,33.0
2018-06-01,6.259999999999999,11.0
2018-07-01,6.203090909090909,16.0
2018-08-01,5.194695667245288,0.0
2018-09-01,5.194695667245288,0.0
2018-10-01,5.371000000000001,20.0
2018-11-01,6.26,5.0
2018-12-01,5.003553846153848,31.0
