Date,shop_id,item_id,item_category,id_struct,Price,item_cnt_day
1/1/2018,68,770380263,1233,1233530100101,57.5,0.106
1/1/2018,68,783480673,1338,1338564101002,5.44,1
1/1/2018,68,783480696,1338,1338550281021,3.25,3
1/1/2018,68,783480746,1338,1338564102002,3.2,3
1/1/2018,68,785080086,1338,1338534201022,2.87,4
1/1/2018,68,790080211,1336,1336533030401,0.45,11
1/1/2018,68,790880281,1336,1336533060201,0.64,4
1/1/2018,68,790880651,1336,1336533060101,0.44,18
1/1/2018,68,790880881,1336,1336533060201,0.85,2
1/1/2018,74,283400170,2507,2507349030701,1.09,3
1/1/2018,74,396100070,2506,2506367090107,1.75,2
1/1/2018,74,420160140,1442,1442608010404,6.99,2
1/1/2018,74,422143940,1442,1442611010202,5.79,1
1/1/2018,74,425100030,1442,1442672040605,1.99,2
1/1/2018,74,425300030,1442,1442607080202,2.1,3
1/1/2018,74,425300080,1442,1442607080102,2.9,5
1/1/2018,74,430200510,1443,1443640010305,4.22,2
1/1/2018,74,431000630,1443,1443656130301,1.51,4
1/1/2018,74,432502010,1443,1443638020801,1.79,2
1/1/2018,74,432580030,1443,1443638020802,4.29,1
1/1/2018,74,433040900,1443,1443653010102,1.14,2
1/1/2018,74,435140940,1443,1443609010301,1.76,2
1/1/2018,74,437000050,1443,1443641070101,0.76,8
1/1/2018,74,550000750,1428,1428658010304,1.3065,4
1/1/2018,74,611080027,1101,1101117052502,1.855,1
1/1/2018,74,611600088,1101,1101168090724,6.98,6
1/1/2018,74,611840248,1101,1101168030322,0.98,5
1/1/2018,74,612000497,1101,1101105010525,1.25395238095238,21
1/1/2018,74,612700027,1101,1101105051925,0.978,2
1/1/2018,74,613180248,1101,1101117010722,0.375,4
1/1/2018,74,614680027,1101,1101107030124,1.85,17
1/1/2018,74,614840048,1101,1101107070123,6.565,2
1/1/2018,74,640180407,1114,1114125010301,0.41,1
1/1/2018,74,640580657,1114,1114125030301,0.735,3
1/1/2018,74,641300017,1114,1114131090124,2.3,2
1/1/2018,74,642080078,1114,1114137080101,17.49,1
1/1/2018,74,642080118,1114,1114137080101,19.25,1
1/1/2018,74,644300407,1114,1114103070323,2.79,2
1/1/2018,74,644300537,1114,1114103070323,1.89,4
1/1/2018,74,783480746,1338,1338564102002,3.2,2
