Date,shop_id,item_id,item_category,id_struct,Price,item_cnt_day
1/1/2018,1,422144070,1442,1442611010202,5.79,3
1/1/2018,1,424180180,1442,1442612020302,3.79,3
1/1/2018,1,425200990,1442,1442672010202,1.99,1
1/1/2018,1,425300160,1442,1442607080203,3.48,1
1/1/2018,1,430200510,1443,1443640010305,4.22,7
1/1/2018,1,431000630,1443,1443656130301,1.51,4
1/1/2018,1,432502010,1443,1443638020801,1.79,1
1/1/2018,1,433040900,1443,1443653010102,1.14,4
1/1/2018,1,437000050,1443,1443641070101,0.76,1
1/1/2018,1,550000750,1428,1428658010304,1.34,2
1/1/2018,1,554280020,1428,1428659090401,2.55,1
1/1/2018,1,610380058,1101,1101115071302,1.42,1
1/1/2018,1,611080027,1101,1101117052502,1.855,13
1/1/2018,1,611600088,1101,1101168090724,6.98,2
1/1/2018,1,611800107,1101,1101168010122,0.155,4
1/1/2018,1,611840248,1101,1101168030322,0.98,9
1/1/2018,1,612000497,1101,1101105010525,1.248545455,11
1/1/2018,1,612600047,1101,1101105051724,0.919529411764706,34
1/1/2018,1,612600188,1101,1101105190202,0.765,6
1/1/2018,1,613080427,1101,1101117010325,2.5975,4
1/1/2018,1,613180248,1101,1101117010722,0.375,3
1/1/2018,1,614644108,1101,1101107031124,7.26,1
1/1/2018,1,614760088,1101,1101107050122,2.66,3
1/1/2018,1,615000317,1101,1101109010403,2.22,1
1/1/2018,1,617101238,1101,1101143010903,1.45,2
1/1/2018,1,632180573,1341,1341560112110,3.59,5
1/1/2018,1,640180938,1114,1114125010301,0.41,5
1/1/2018,1,641300087,1114,1114131090124,3.295,2
1/1/2018,1,644300407,1114,1114103070323,2.79,1
1/1/2018,1,660580227,1173,1173205119956,0.489193548387097,62
1/1/2018,1,662080286,1173,1173201072062,0.83,2
1/1/2018,1,663281457,1173,1173202039961,0.9,7
1/1/2018,1,704080091,1335,1335536030101,3.89,1
1/1/2018,1,708080011,1335,1335514010201,3.7,1
1/1/2018,1,783480696,1338,1338550281021,3.25,7
1/1/2018,1,783480746,1338,1338564102002,3.10857142857143,7
1/1/2018,1,783580163,1338,1338567201002,2.7,2
1/1/2018,1,790080211,1336,1336533030401,0.45,6
1/1/2018,1,790080261,1336,1336533010301,0.36,4
1/1/2018,1,790282501,1336,1336533020101,0.36,6
1/1/2018,1,790880281,1336,1336533060201,0.64,3
1/1/2018,7,430200470,1443,1443640010202,2.22,2
1/1/2018,7,433040900,1443,1443653010102,1.14,1
1/1/2018,7,436002740,1443,1443643010202,4.69,1
1/1/2018,7,437000050,1443,1443641070101,0.76,1
1/1/2018,7,550000750,1428,1428658010304,1.34,5
1/1/2018,7,554280020,1428,1428659090401,2.55,2
1/1/2018,7,610380058,1101,1101115071302,1.42,1
1/1/2018,7,610500218,1101,1101115090302,1.12,1
1/1/2018,7,611600088,1101,1101168090724,6.98,1
1/1/2018,7,611800107,1101,1101168010122,0.155,3
1/1/2018,7,612000497,1101,1101105010525,1.26,9
1/1/2018,7,612700027,1101,1101105051925,1.03,1
1/1/2018,7,617101238,1101,1101143010903,1.45,3
1/1/2018,7,632180573,1341,1341560112110,3.59,2
1/1/2018,7,640180938,1114,1114125010301,0.41,2
1/1/2018,7,642080078,1114,1114137080101,17.49,9
1/1/2018,7,644300407,1114,1114103070323,2.79,3
1/1/2018,7,660580227,1173,1173205119956,0.44,1
1/1/2018,7,662080286,1173,1173201072062,0.83,6
1/1/2018,7,663281457,1173,1173202039961,0.9,6
1/1/2018,7,708080011,1335,1335514010201,3.2375,4
